R2,67.87,10.75,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,157.19,8.90,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,89.70,61.42,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,148.96,47.07,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,149.06,48.96,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,118.65,42.35,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,71.59,9.37,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,72.57,14.42,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,30.60,43.43,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,32.94,17.20,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,28.65,17.00,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,24.46,17.10,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,74.48,32.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.03,108.43,180.00,BUTTON_CUSYOMV1.,MYBUTTON
R_BOOT,20.01,106.80,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.19,51.12,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,44.82,106.80,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,76.04,32.58,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,60.13,107.10,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,156.10,13.25,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,68.66,8.46,0.00,,SJ
TP1,15.20,61.42,0.00,TPTP20R,TP20R
TP10,110.60,13.40,0.00,TPTP20R,TP20R
TP11,104.40,17.02,0.00,TPTP20R,TP20R
TP12,107.30,13.34,0.00,TPTP20R,TP20R
TP13,104.30,13.46,0.00,TPTP20R,TP20R
TP14,120.80,51.68,0.00,TPTP20R,TP20R
TP15,79.90,66.90,0.00,TPTP20R,TP20R
TP16,9.00,35.22,0.00,TPTP20R,TP20R
TP17,107.40,16.74,0.00,TPTP20R,TP20R
TP2,17.90,61.44,0.00,TPTP20R,TP20R
TP3,132.40,47.46,0.00,TPTP20R,TP20R
TP4,120.60,55.48,0.00,TPTP20R,TP20R
TP5,132.40,50.20,0.00,TPTP20R,TP20R
TP6,13.90,75.82,0.00,TPTP20R,TP20R
TP7,9.30,75.74,0.00,TPTP20R,TP20R
TP8,4.70,75.86,0.00,TPTP20R,TP20R
TP9,110.70,16.58,0.00,TPTP20R,TP20R
U1,35.34,51.25,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.50,48.84,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,79.91,57.01,90.00,DS3231SN#,SOIC127P1032X265-16N
U4,128.76,46.91,0.00,MAX17048G+T10,SON50P200X200X80-9N
